corner,scorer,before,random moves,suggested,drop_suggested,drop_random
115,gnn_hybrid (independent),0.7744771242141724,0.7482542991638184,0.6958466172218323,0.07863050699234009,0.026222825050354004
115,lgbm_hard (independent),0.6488186131258475,0.6548506595998618,0.6259342954168967,0.02288431770895083,-0.00603204647401423
124,gnn_hard (optimised),0.931368887424469,0.9438934922218323,0.8613682389259338,0.07000064849853516,-0.012524604797363281
124,gnn_hybrid (independent),0.9586775302886963,0.9739704132080078,0.9126814007759094,0.045996129512786865,-0.015292882919311523
124,lgbm_hard (independent),0.6296086280920692,0.7096265792527231,0.6485280450788168,-0.018919416986747595,-0.08001795116065391
129,gnn_hard (optimised),0.727672815322876,0.7856023907661438,0.47179755568504333,0.25587525963783264,-0.05792957544326782
129,gnn_hybrid (independent),0.5887652635574341,0.6244017481803894,0.40146565437316895,0.18729960918426514,-0.03563648462295532
129,lgbm_hard (independent),0.4238432084313203,0.46467407141279876,0.2838844117613667,0.1399587966699536,-0.04083086298147848
130,gnn_hard (optimised),0.6917109489440918,0.8496106863021851,0.4842243492603302,0.2074865996837616,-0.15789973735809326
130,gnn_hybrid (independent),0.5142393112182617,0.7186925411224365,0.3882867097854614,0.1259526014328003,-0.2044532299041748
130,lgbm_hard (independent),0.3774402853040323,0.44336969209077925,0.3234790674418364,0.053961217862195876,-0.06592940678674697
141,gnn_hard (optimised),0.6818509697914124,0.5593315958976746,0.3031526207923889,0.37869834899902344,0.12251937389373779
141,gnn_hybrid (independent),0.5747092962265015,0.43147942423820496,0.32643988728523254,0.24826940894126892,0.1432298719882965
141,lgbm_hard (independent),0.6492856104305712,0.6445315939625227,0.5085700749355235,0.14071553549504767,0.004754016468048516
155,gnn_hard (optimised),0.7043702602386475,0.6893963813781738,0.5831885933876038,0.1211816668510437,0.014973878860473633
155,gnn_hybrid (independent),0.6080555319786072,0.6107317209243774,0.5447107553482056,0.06334477663040161,-0.0026761889457702637
155,lgbm_hard (independent),0.6467881289001347,0.5736771747310921,0.5913350602330852,0.055453068667049465,0.07311095416904256
163,gnn_hard (optimised),0.8201286196708679,0.76312655210495,0.6716353893280029,0.148493230342865,0.05700206756591797
163,gnn_hybrid (independent),0.8084796071052551,0.6932762265205383,0.6167975068092346,0.1916821002960205,0.1152033805847168
163,lgbm_hard (independent),0.5362880351659827,0.5051386593896978,0.47185276770888196,0.06443526745710071,0.03114937577628485
181,gnn_hard (optimised),0.6746189594268799,0.6636335849761963,0.5273356437683105,0.14728331565856934,0.010985374450683594
181,gnn_hybrid (independent),0.6390280723571777,0.659757673740387,0.5428106784820557,0.09621739387512207,-0.02072960138320923
181,lgbm_hard (independent),0.3505934224625782,0.31702033734316437,0.24305651411169388,0.10753690835088431,0.033573085119413815
182,gnn_hard (optimised),0.7769712209701538,0.7984368205070496,0.4947013556957245,0.2822698652744293,-0.021465599536895752
182,gnn_hybrid (independent),0.8265829682350159,0.8689602613449097,0.4548206627368927,0.37176230549812317,-0.0423772931098938
182,lgbm_hard (independent),0.3129332945734264,0.31113386169180646,0.23499552981945743,0.07793776475396896,0.0017994328816199334
185,gnn_hard (optimised),0.8705404996871948,0.876741886138916,0.7220808267593384,0.14845967292785645,-0.006201386451721191
185,gnn_hybrid (independent),0.7765503525733948,0.8485256433486938,0.545173704624176,0.23137664794921875,-0.07197529077529907
